"";"unidade_planejamento";"regiao_administrativa";"local_trabalho";"meio_transporte";"tempo_deslocamento";"renda";"escolaridade";"sexo";"cor_raca";"peso_amostral_morador";"pop_ajustada";"pos_estrato";"peso_upt"
"10587";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Até 30 minutos";2293,27856634718;"Superior completo";"Feminino";"Branca";23,6969696969697;1564;533010213;0,780199918533605
"10588";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Entre 30 minutos e 1 hora";11411,2665306189;"Superior completo";"Masculino";"Branca";20,4586466165414;2721;533010109;0,780199918533605
"10589";"Central Adjacente 2";"Vicente Pires";"Central";"Ônibus";"Entre 30 minutos e 1 hora";1375,96713980831;"Médio completo";"Feminino";"Outros";5,50649350649351;424;533020210;0,780199918533605
"10590";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Entre 30 minutos e 1 hora";2018,08513838552;"Fundamental incompleto";"Masculino";"Branca";5,74074074074074;155;533020113;0,780199918533605
"10591";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Entre 30 minutos e 1 hora";1192,50485450053;"Médio completo";"Feminino";"Outros";5,44444444444444;490;533020207;0,780199918533605
"10592";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Entre 30 minutos e 1 hora";2751,93427961662;"Médio completo";"Feminino";"Outros";5,26262626262626;521;533020209;0,780199918533605
"10593";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Até 30 minutos";9173,11426538872;"Superior incompleto";"Masculino";"Preta";4,95145631067961;510;533020109;0,780199918533605
"10594";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Até 30 minutos";917,311426538872;"Médio incompleto";"Masculino";"Preta";7,12698412698413;449;533020104;0,780199918533605
"10595";"Central Adjacente 2";"Vicente Pires";"Central Adjacente 2";"Automóvel";"Até 30 minutos";1375,96713980831;"Superior incompleto";"Feminino";"Branca";5,44444444444444;490;533020207;0,780199918533605
"10596";"Central Adjacente 2";"Vicente Pires";"Oeste";"Automóvel";"Até 30 minutos";2965,13224811356;"Médio completo";"Masculino";"Outros";19,6861313868613;2697;533010108;0,780199918533605
"10597";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Até 30 minutos";3669,24570615549;"Fundamental incompleto";"Feminino";"Outros";18,0126582278481;2846;533010210;0,780199918533605
"10598";"Central Adjacente 2";"Vicente Pires";"Central";"Automóvel";"Até 30 minutos";11007,7371184665;"Superior completo";"Masculino";"Outros";20,7520661157025;2511;533010111;0,780199918533605
"10599";"Central Adjacente 2";"Vicente Pires";"Norte";"Automóvel";"Entre 30 minutos e 1 hora";4219,63256207881;"Fundamental completo";"Masculino";"Outros";4,95145631067961;510;533020109;0,780199918533605
