endtime;A01nficha;A01ra;A01setor;A01npessoas;B01;B02;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;B13_1;B13_2;B13_3;B13_4;B13_5;B13_6;B14_1;B14_2;B14_3;B14_4;B15_1;B15_2;B15_3;B15_4;B15_5;B16_1;B16_2;B16_3;B16_4;B16_5;B16_6;B17_1;B17_2;B17_3;B17_4;B17_5;B17_6;B18_1;B18_2;B18_3;B18_4;B18_5;B18_6;B19_1;B19_2;B19_3;B19_4;B19_5;B19_6;B19_7;B19_8;B19_9;B20_1;B20_2;B20_3;C01;C01_1;C02;C02_1;C03;C03_1;C04;C04_1_1;C04_1_2;C05_1;C05_2;C05_3;C06_1;C06_2;C06_3;C06_4;C06_5;C06_6;C06_7;C06_8;C06_9;C06_10;C06_11;C06_12;C06_13;C06_14;C06_15;C06_16;C06_17;C06_18;C07;C07_1;C08;C08_1;C08_2;C09_1;C09_2;C09_3;C09_4;C10;C10_1;C10_2;C10_3;C10_4;C10_5;D01;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;D12;D13;D14;grupo_pdad;UPT;criterio_brasil;arranjos;inseg_alimentar;renda_domiciliar;renda_domiciliar_r;renda_domiciliar_pc;renda_domiciliar_pc_r;PESO_PRE;PESO_DOM;TOT_DOM
20210608;51617;15;53150;3;1;2;1;99999;99999;1;1;3;2;5;3;2;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;2;3;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;2;2;1;1;2;99999;2;99999;1;1;1;1;2;2;1;0;1;0;0;1;0;0;0;2;0;0;0;0;1;1;0;0;2;99999;2;99999;99999;3;59;59;15;1;0;2;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;7;4;3;1;10300;10317,51;3433,33333333333;3439,17;47,1758409785933;63,7828371278459;36419,9999999997
20211013;53094;14;53142;4;1;2;1;99999;99999;2;1;1;4;3;1;1;2;1;2;2;2;1;2;1;2;2;2;2;2;2;1;2;2;1;1;2;2;2;2;99999;99999;2;2;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;99999;2;99999;2;99999;1;1;1;2;2;2;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;99999;2;99999;99999;14;14;14;14;1;0;3;0;0;0;1;1;1;1;1;1;2;1;2;1;2;2;2;1;4;4;6;4;3;1045;1013,37392194375;261,25;253,343480485939;9,97090909090909;10,6519189990324;5674,0219382414
20211118;80415;28;53280;2;1;2;1;99999;99999;1;1;3;1;6;2;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;2;1;1;1;3;1;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;1;2;2;2;2;99999;1;1;2;99999;1;1;1;2;2;2;1;1;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;2;99999;2;99999;99999;28;28;59;28;2;99999;99999;99999;99999;99999;1;1;1;2;2;2;2;2;99999;99999;99999;99999;99999;99999;4;4;5;6;2; ; ; ; ;28,0683760683761;32,0298507462687;17167,9999999999
20210811;151;6;53061;4;1;2;1;99999;99999;1;2;3;2;4;2;1;1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;3;1;1;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;99999;2;99999;1;1;1;2;1;1;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;99999;2;99999;99999;6;6;6;6;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;5;4;4;1; ; ; ; ;48,6816901408451;53,5991316931983;37036,9999999997
20210824;1372;10;53100;2;1;2;1;99999;99999;1;2;3;1;8;4;4;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;99999;2;99999;1;1;1;1;2;1;1;0;1;1;1;0;0;0;0;4;1;1;0;0;1;0;1;0;2;99999;2;99999;99999;10;59;59;10;2;99999;99999;99999;99999;99999;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;3;2;7;1;20000;19821,6055500496;10000;9910,80277502478;39,4311475409836;41,5724381625442;47060,0000000012
20210618;72234;19;53190;4;1;2;1;99999;99999;1;1;3;1;6;3;2;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;2;2;2;1;1;1;1;3;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;1;1;2;99999;1;3;1;1;1;1;2;1;1;0;1;0;1;1;0;0;0;1;0;1;1;0;1;1;1;0;2;99999;1;2;2;10;10;10;1;1;0;2;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;1;3;4;1;14000;14023,8;3500;3505,95;6,9144385026738;9,27613412228797;4703
20211025;30445;20;53200;2;1;1;1;99999;99999;1;1;3;5;4;2;1;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;2;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;99999;2;99999;1;1;1;2;2;1;1;1;0;0;0;0;0;0;0;1;0;0;2;0;1;1;0;0;2;99999;2;99999;99999;20;56;59;59;1;0;1;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;1;3;4;7;1;7360;7137,25556507754;3680;3568,62778253877;31,7234513274336;33,0890736304823;52013,9999999985
20210617;28995;6;53062;5;1;3;1;99999;99999;2;1;3;2;10;4;4;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;1;4;1;1;2;2;1;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2;1;1;2;99999;2;99999;1;1;1;2;2;1;1;1;0;1;1;0;0;0;0;1;0;1;1;0;2;1;1;0;2;99999;2;99999;99999;6;6;6;6;1;0;2;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;5;3;7;1; ; ; ; ;22,5791304347826;30,2240566037736;12815,0000000001
20210729;65431;15;53150;3;1;2;1;99999;99999;1;1;3;1;7;2;2;1;2;2;2;2;1;1;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;1;1;2;99999;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;2;1;0;1;0;1;1;1;0;1;1;1;1;1;15;15;15;15;1;0;2;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;4;7;2;3;1; ; ; ; ;47,1758409785933;63,7828371278459;36419,9999999997
20210615;10113;5;53050;2;1;3;1;99999;99999;2;1;3;1;8;1;2;2;2;1;2;2;1;2;1;2;2;1;2;2;2;2;1;1;1;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;99999;2;99999;1;1;1;2;2;2;1;1;0;0;1;0;0;0;0;1;0;0;1;0;2;1;0;0;2;99999;2;99999;99999;5;5;5;5;1;0;1;0;0;0;2;2;2;2;99999;99999;99999;99999;99999;99999;99999;99999;99999;99999;2;5;5;6;1;10000;10017;5000;5008,5;33,578167115903;33,7186588921283;23131,0000000002
