"";"unidade_planejamento";"regiao_administrativa";"local_trabalho";"meio_transporte";"tempo_deslocamento";"renda";"escolaridade";"sexo";"cor_raca";"peso_amostral_morador";"pop_ajustada";"pos_estrato"
"2721";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";4586,55713269436;"Médio completo";"Feminino";"Branca";8,69724770642202;948;530130210
"2722";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";9173,11426538872;"Superior completo";"Masculino";"Branca";7,67948717948718;1198;530130109
"2723";"Central";"Plano Piloto";"Central";"Ônibus";"Até 30 minutos";3394,05227819383;"Superior completo";"Masculino";"Branca";14,695;2939;530120108
"2724";"Central";"Plano Piloto";"Central";"Ônibus";"Até 30 minutos";5503,86855923323;"Superior incompleto";"Feminino";"Branca";17,25;2415;530120206
"2725";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";18346,2285307774;"Médio completo";"Feminino";"Branca";17,3030998450216;4192;530110206
"2726";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";9173,11426538872;"Superior completo";"Masculino";"Preta";16,8538257922262;3898;530110106
"2727";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";9173,11426538872;"Superior completo";"Masculino";"Branca";20,8844017095613;5111;530110107
"2728";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";5045,2128459638;"Superior completo";"Feminino";"Branca";9,73793103448276;1412;530130209
"2729";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";5045,2128459638;"Superior completo";"Masculino";"Branca";7,67948717948718;1198;530130109
"2730";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";1797,04984734155;"Superior completo";"Feminino";"Branca";9,27443359743059;3233;530110205
"2731";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";9173,11426538872;"Superior completo";"Feminino";"Parda";6,71875;430;530130212
"2732";"Central";"Plano Piloto";"Central Adjacente 2";"Automóvel";"Entre 30 minutos e 1 hora";10782,2990840493;"Superior completo";"Feminino";"Branca";9,02739726027397;1318;530130207
"2733";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";5391,14954202466;"Superior completo";"Feminino";"Branca";11,2264150943396;595;530130211
"2734";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";10782,2990840493;"Superior completo";"Masculino";"Branca";10,8148148148148;584;530130106
"2735";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";1834,62285307774;"Médio completo";"Feminino";"Parda";25,8778625954198;3390;530120210
"2736";"Central";"Plano Piloto";"Central";"Motocicleta";"Até 30 minutos";6421,17998577211;"Superior completo";"Masculino";"Branca";19,5866666666667;2938;530120110
"2737";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";13301,0156848136;"Superior completo";"Masculino";"Branca";21,8543689320388;2251;530120116
"2738";"Central";"Plano Piloto";"Central";"Ônibus";"Entre 30 minutos e 1 hora";6237,71770046433;"Médio completo";"Masculino";"Branca";27,2894736842105;2074;530120113
"2739";"Central";"Plano Piloto";"Central";"Automóvel";"Entre 1 hora e 1 hora e 30 minutos";13667,9402554292;"Superior completo";"Feminino";"Parda";23,1037037037037;3119;530120211
"2740";"Central";"Plano Piloto";"Central";"Automóvel";"Entre 30 minutos e 1 hora";5503,86855923323;"Médio completo";"Masculino";"Parda";19,5866666666667;2938;530120110
"2741";"Central";"Plano Piloto";"Central";"Automóvel";"Entre 30 minutos e 1 hora";6237,71770046433;"Superior completo";"Feminino";"Parda";17,8878048780488;3667;530120209
"2742";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";22932,7856634718;"Superior completo";"Masculino";"Branca";7,77333333333333;583;530130111
"2743";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";22932,7856634718;"Superior completo";"Feminino";"Branca";8,69724770642202;948;530130210
"2744";"Central";"Plano Piloto";"Central";"Automóvel";"Entre 30 minutos e 1 hora";5320,40627392546;"Superior completo";"Masculino";"Branca";16,2433862433862;3070;530120109
"2745";"Central";"Plano Piloto";"Central";"Automóvel";"Entre 30 minutos e 1 hora";4586,55713269436;"Médio completo";"Feminino";"Branca";17,8878048780488;3667;530120209
"2746";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";14376,3987787324;"Superior completo";"Masculino";"Parda";4,59615384615384;239;530130113
"2747";"Central";"Plano Piloto";"Central";"A pé";"Até 30 minutos";1410,58131316911;"Médio completo";"Masculino";"Parda";26,9569892473118;2507;530120112
"2748";"Central";"Plano Piloto";"Central";"Ônibus";"Até 30 minutos";1316,54255895784;"Médio completo";"Feminino";"Branca";23,1037037037037;3119;530120211
"2749";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";18807,7508422548;"Superior completo";"Masculino";"Branca";40,1471903427071;5728;530110109
"2750";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";3210,58999288605;"Superior completo";"Feminino";"Branca";13,1032863849765;2791;530120207
"2751";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";6289,67446569543;"Superior completo";"Masculino";"Branca";10,8148148148148;584;530130106
"2752";"Central";"Plano Piloto";"Central Adjacente 2";"Automóvel";"Até 30 minutos";3594,0996946831;"Superior completo";"Feminino";"Branca";9,02739726027397;1318;530130207
"2753";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";6421,17998577211;"Superior completo";"Feminino";"Parda";9,02739726027397;1318;530130207
"2754";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";11007,7371184665;"Superior completo";"Masculino";"Parda";6,60629921259843;839;530130107
"2755";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";4127,90141942493;"Superior completo";"Feminino";"Branca";62,7103908914908;5349;530110210
"2756";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";2751,93427961662;"Superior completo";"Masculino";"Branca";79,7980401163908;4198;530110111
"2757";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";17071,9735497447;"Superior completo";"Masculino";"Branca";6,60629921259843;839;530130107
"2758";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";7338,49141231098;"Superior completo";"Masculino";"Branca";14,695;2939;530120108
"2759";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";10090,4256919276;"Superior completo";"Feminino";"Branca";17,8878048780488;3667;530120209
"2760";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";14105,8131316911;"Superior completo";"Masculino";"Branca";16,2433862433862;3070;530120109
"2761";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";18346,2285307774;"Superior completo";"Feminino";"Branca";25,8778625954198;3390;530120210
"2762";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";18346,2285307774;"Superior completo";"Masculino";"Branca";16,2433862433862;3070;530120109
"2763";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";7188,19938936621;"Superior completo";"Feminino";"Parda";11,2264150943396;595;530130211
"2764";"Central";"Plano Piloto";"Central";"Bicicleta";"Até 30 minutos";8181,37161638084;"Médio completo";"Masculino";"Parda";6,52380952380952;411;530140110
"2765";"Central";"Plano Piloto";"Central";"Automóvel";"Até 30 minutos";10090,4256919276;"Superior completo";"Feminino";"Branca";13,1032863849765;2791;530120207
